property_id,area_name,latitude,longitude,plot_size_sqft,bhk,property_age_years,floor_number,furnishing_status,rera_registered,listed_price,actual_fair_value,zone_type,has_parking,has_garden,dist_railway_station_km,dist_airport_km,dist_city_center_km,dist_db_mall_km,dist_aiims_km,dist_manit_km,dist_upper_lake_km,dist_lower_lake_km,zone_price_index,furnishing_semi,furnishing_fully
1,Danish Kunj,23.223731,77.444869,1895,3,6,12,semi-furnished,1,17616278.45,16876169.47,commercial,True,True,6.03,13.07,5.19,2.23,4.11,3.42,4.97,8.11,3.86,1,0
2,Shamla Hills,23.238136,77.409268,1259,3,11,11,unfurnished,0,14234050.27,14841658.21,premium_residential,True,False,3.37,9.16,2.43,2.73,0.66,2.52,1.32,4.44,3.86,0,0
3,Piplani,23.206549,77.500865,2328,1,18,0,fully-furnished,0,7362614.91,7558357.11,budget,True,False,11.45,18.98,10.79,7.75,10.14,9.09,10.9,14.08,3.86,0,1
4,Danish Kunj,23.22,77.457864,834,4,3,12,semi-furnished,1,12459690.17,9001180.35,commercial,True,False,7.18,14.42,6.4,3.34,5.5,4.66,6.31,9.48,3.86,1,0
5,Govindpura,23.27659,77.486797,3117,3,14,0,unfurnished,0,17809357.3,18208236.94,residential,True,True,7.78,15.33,7.81,6.49,9.57,10.16,8.89,13.25,3.86,0,0
6,Nehru Nagar,23.234018,77.458344,864,1,8,0,fully-furnished,0,4659232.75,4536179.64,residential,False,True,6.14,13.72,5.49,2.49,5.36,5.11,5.72,9.42,3.86,0,1
7,MP Nagar,23.241726,77.437322,2982,4,11,9,semi-furnished,0,31617503.13,32867813.68,commercial,True,True,3.99,11.41,3.23,0.18,3.35,3.84,3.42,7.33,7.37,1,0
8,Indrapuri,23.255378,77.469835,1302,4,6,0,semi-furnished,1,7470442.48,7488887.44,residential,True,False,6.16,14.01,5.88,3.8,6.99,7.33,6.67,10.88,2.46,1,0
9,Raisen Road,23.193751,77.437286,2478,4,3,17,fully-furnished,1,28342413.92,29163541.31,premium_residential,False,False,8.69,14.57,7.75,5.35,5.4,3.5,6.99,8.46,3.86,0,1
10,Anand Nagar,23.281251,77.443087,2329,2,6,4,unfurnished,1,7741836.82,8010463.01,budget,False,True,3.55,10.83,3.91,4.41,6.55,7.91,5.26,9.51,3.86,0,0
11,Hoshangabad Road,23.215297,77.471149,2057,2,14,14,semi-furnished,1,17648640.49,17281798.73,commercial,True,True,8.5,15.85,7.77,4.69,6.95,5.99,7.75,10.91,5.96,1,0
12,MP Nagar,23.228897,77.425038,2960,5,4,17,semi-furnished,1,31891687.05,31598776.75,commercial,True,False,4.61,11.07,3.66,1.81,2.0,1.95,3.06,6.03,7.37,1,0
13,Katara Hills,23.189693,77.446043,1093,2,19,6,fully-furnished,1,8922653.64,9080695.05,residential,False,True,9.42,15.52,8.5,5.89,6.31,4.47,7.83,9.46,3.86,0,1
14,Raisen Road,23.175932,77.442542,946,2,6,11,fully-furnished,1,9856943.86,10253259.49,premium_residential,True,False,10.74,16.38,9.79,7.35,7.34,5.36,9.0,10.04,3.86,0,1
15,Shahpura,23.193859,77.4321,3193,5,19,0,fully-furnished,0,18114930.89,17714658.13,residential,True,True,8.54,14.19,7.58,5.34,5.09,3.13,6.75,8.0,4.74,0,1
16,Bawadia Kalan,23.216026,77.44929,2496,3,10,17,fully-furnished,1,35978239.28,34351149.55,premium_residential,False,False,6.99,13.92,6.14,3.2,4.81,3.76,5.85,8.7,3.86,0,1
17,Jahangirabad,23.247045,77.397708,2327,3,6,3,unfurnished,0,8660752.8,8672250.34,budget,False,True,2.75,7.63,2.09,3.92,1.77,3.8,0.79,3.58,3.86,0,0
18,Bittan Market,23.250242,77.432209,3324,2,5,23,semi-furnished,0,25430145.42,24563046.65,commercial,True,True,2.94,10.54,2.27,0.98,3.29,4.33,2.79,7.01,3.86,1,0
19,Ayodhya Bypass,23.265918,77.464469,927,2,9,4,unfurnished,0,3290279.28,3226708.05,developing,False,False,5.45,13.22,5.35,3.97,7.01,7.7,6.35,10.69,0.0,0,0
20,Katara Hills,23.196478,77.452256,2505,4,2,0,unfurnished,1,16963529.87,17723993.93,residential,True,False,9.01,15.48,8.11,5.32,6.23,4.58,7.6,9.68,3.86,0,0
21,Indrapuri,23.254316,77.4732,3318,1,1,0,semi-furnished,1,27305887.64,20944357.13,residential,True,False,6.53,14.37,6.23,4.08,7.27,7.54,7.0,11.19,2.46,1,0
22,DB City Road,23.225865,77.439642,3460,3,20,12,fully-furnished,1,24219982.43,23746216.42,commercial,True,False,5.54,12.49,4.68,1.83,3.53,2.99,4.4,7.55,3.86,0,1
23,Bittan Market,23.261222,77.432917,1435,3,18,12,unfurnished,1,9502203.05,9840278.57,commercial,False,True,2.35,10.2,2.08,2.15,4.17,5.46,3.14,7.5,3.86,0,0
24,Shamla Hills,23.239296,77.407477,1287,4,0,14,fully-furnished,1,23497608.88,23840984.19,premium_residential,False,False,3.26,8.94,2.34,2.89,0.71,2.68,1.15,4.27,3.86,0,1
25,MP Nagar,23.225603,77.431138,2043,1,16,5,unfurnished,0,13550939.22,13350976.73,commercial,True,False,5.17,11.79,4.25,1.87,2.7,2.2,3.76,6.69,7.37,0,0
